15157258;Jane Smith;456 Elm St;9-8006-1200-4;2
15157234;Bob Johnson;789 Oak St;9-8074-2735-5;3
15157123;John Doe;123 Main St;9-8006-9354-7;2
15157245;Alice Lee;1011 Pine St;9-8140-0317-2;4
15157345;Mark Davis;1213 Maple St;9-8039-5014-7;4
15157258;Jane Smith;456 Elm St;9-8006-4593-7;3
15157345;Mark Davis;1213 Maple St;9-8054-9282-3;6
15157245;Alice Lee;1011 Pine St;9-8031-0158-4;1
15157123;John Doe;123 Main St;9-8006-3150-7;2
15157345;Mark Davis;1213 Maple St;9-8044-3387-9;1
15157258;Jane Smith;456 Elm St;9-8044-2126-2;3
15157345;Mark Davis;1213 Maple St;9-8039-5014-7;2
15157345;Mark Davis;1213 Maple St;9-8055-2836-6;1
15157258;Jane Smith;456 Elm St;9-8014-1863-7;1
15157234;Bob Johnson;789 Oak St;9-8054-9282-3;3
15157258;Jane Smith;456 Elm St;9-8067-4292-7;4
15157234;Bob Johnson;789 Oak St;9-8006-3150-7;5
15157123;John Doe;123 Main St;9-8067-7728-2;1
15157345;Mark Davis;1213 Maple St;9-8045-2126-2;7
15157234;Bob Johnson;789 Oak St;9-8054-9282-3;4
15157258;Jane Smith;456 Elm St;9-8006-1200-4;3
15157245;Alice Lee;1011 Pine St;9-8074-2735-5;3
15157345;Mark Davis;1213 Maple St;9-8006-9354-7;1
15157123;John Doe;123 Main St;9-8006-0724-4;1
15157245;Alice Lee;1011 Pine St;9-8045-2126-2;4
15157234;Bob Johnson;789 Oak St;9-8006-1200-4;10
15157245;Alice Lee;1011 Pine St;9-8006-4593-7;4
15157258;Jane Smith;456 Elm St;9-8044-3107-9;3
15157234;Bob Johnson;789 Oak St;9-8038-3199-5;1
15157123;John Doe;123 Main St;9-8054-9282-3;6
15157234;Bob Johnson;789 Oak St;9-8044-3387-9;1
